正面	反面	标签
provide / inject 的工作原理是什么？如何实现响应式？	<strong>工作原理</strong>：<br>provide 在祖先组件中提供数据，inject 在后代组件中注入数据，沿着父级链向上查找。<br><br><strong>响应式实现</strong>：<br>• 默认 provide 不是响应式的<br>• Vue 2：将 provide 的值设置为响应式对象（如传入 Vue 实例或 computed 属性）<br>• Vue 3：使用 reactive 或 ref 包裹，即可自动响应式<br><br><strong>适用场景</strong>：<br>跨越多层级的组件通信，如主题、语言等配置项传递。	Vue 组件通信
Vue 2 的生命周期有哪些？各阶段适合做什么？	<strong>创建阶段</strong>：<br>• beforeCreate：实例初始化后，数据观测未开始，不能访问 data<br>• created：数据观测完成，可访问 data 和 methods，适合请求接口、初始化数据<br><br><strong>挂载阶段</strong>：<br>• beforeMount：模板编译完成，但未挂载到 DOM<br>• mounted：挂载完成，可访问 DOM，适合操作 DOM 或初始化第三方库<br><br><strong>更新阶段</strong>：<br>• beforeUpdate：数据更新后，重新渲染前，可获取旧 DOM 状态<br>• updated：重新渲染完成后，可操作新 DOM，避免在此处修改数据（可能死循环）<br><br><strong>销毁阶段</strong>：<br>• beforeDestroy：实例销毁前，适合清除定时器、取消订阅<br>• destroyed：实例销毁后，所有指令和事件监听已移除	Vue 生命周期
父子组件的生命周期执行顺序是怎样的？	<strong>加载渲染过程</strong>：<br>父 beforeCreate → 父 created → 父 beforeMount → 子 beforeCreate → 子 created → 子 beforeMount → 子 mounted → 父 mounted<br><br><strong>更新过程</strong>：<br>父 beforeUpdate → 子 beforeUpdate → 子 updated → 父 updated<br><br><strong>销毁过程</strong>：<br>父 beforeDestroy → 子 beforeDestroy → 子 destroyed → 父 destroyed<br><br><strong>关键点</strong>：<br>• 子组件的 mounted 先于父组件的 mounted<br>• 更新时先触发父 beforeUpdate，但子组件更新完成后再触发父 updated	Vue 生命周期
keep-alive 组件的生命周期有哪些？有什么作用？	<strong>新增钩子</strong>：<br>• activated：组件被激活时调用（首次进入缓存组件时，在 mounted 之后）<br>• deactivated：组件被停用时调用<br><br><strong>作用</strong>：<br>keep-alive 用于缓存组件，避免重复创建和销毁，提升性能。<br><br><strong>使用场景</strong>：<br>• 路由切换时保持组件状态（如表单输入、列表滚动位置）<br>• 动态组件切换时缓存<br><br><strong>注意</strong>：<br>被 keep-alive 缓存的组件不会触发 beforeDestroy 和 destroyed，而是通过 activated 和 deactivated 管理状态。	Vue 生命周期
在哪个生命周期中可以获取到 DOM？为什么？	<strong>mounted 及之后</strong>：<br>• mounted：DOM 已挂载完成，可安全操作 DOM<br>• updated：数据更新后，DOM 重新渲染完成<br><br><strong>原因</strong>：<br>Vue 的渲染是异步的，created 阶段虚拟 DOM 尚未生成，beforeMount 阶段模板编译完成但未挂载，只有 mounted 后真实 DOM 才存在。<br><br><strong>特殊场景</strong>：<br>如果需要在数据更新后立即操作 DOM，可使用 nextTick 确保 DOM 更新完成后再执行。	Vue 生命周期
Vue 2 和 Vue 3 的生命周期有哪些差异？	<strong>命名变化</strong>：<br>• beforeDestroy → beforeUnmount<br>• destroyed → unmounted<br><br><strong>新增钩子</strong>（Vue 3）：<br>• renderTracked：跟踪虚拟 DOM 渲染<br>• renderTriggered：触发虚拟 DOM 渲染<br><br><strong>组合式 API 中的写法</strong>：<br>• Vue 2 Options API：通过选项定义<br>• Vue 3 Composition API：使用 onMounted、onUpdated 等函数，更灵活<br><br><strong>注意</strong>：<br>Vue 3 中 beforeCreate 和 created 被 setup 函数取代，在 setup 中编写逻辑即可。	Vue 生命周期
Vue Router 的 hash 模式和 history 模式有什么区别？	<strong>hash 模式</strong>：<br>• URL 中带有 #，如 http://example.com/#/user<br>• 基于 location.hash 实现，hash 变化不会触发页面重载<br>• 兼容性好，支持所有浏览器<br>• 服务端无需特殊配置<br><br><strong>history 模式</strong>：<br>• URL 看起来正常，如 http://example.com/user<br>• 基于 HTML5 History API（pushState、replaceState）<br>• 刷新页面时，若服务端未配置，会返回 404<br>• 需要服务端配置将所有路由指向 index.html<br><br><strong>选择建议</strong>：<br>• 生产环境推荐 history 模式（美观），但需服务端支持<br>• 无服务端配置权限时使用 hash 模式	Vue Router
Vue Router 的导航守卫有哪些？执行顺序是怎样的？	<strong>守卫类型</strong>：<br>• 全局守卫：beforeEach、beforeResolve、afterEach<br>• 路由独享守卫：beforeEnter<br>• 组件内守卫：beforeRouteEnter、beforeRouteUpdate、beforeRouteLeave<br><br><strong>执行顺序</strong>：<br>1. 全局 beforeEach<br>2. 路由独享 beforeEnter（若匹配的路由有配置）<br>3. 组件内 beforeRouteEnter<br>4. 全局 beforeResolve<br>5. 全局 afterEach（无 next 参数）<br><br><strong>注意</strong>：<br>beforeRouteEnter 中无法直接访问 this，但可通过 next 回调获取组件实例。	Vue Router
如何实现路由懒加载？有什么好处？	<strong>实现方式</strong>：<br>使用动态 import 语法，结合 Vue Router 的 component 配置。<br><br><strong>代码示例</strong>：<br>const User = () => import('./views/User.vue')<br>const routes = [{ path: '/user', component: User }]<br><br><strong>好处</strong>：<br>• 首屏加载更快，只加载当前路由所需组件<br>• 减少初始打包体积<br>• 按需加载，提升用户体验<br><br><strong>注意</strong>：<br>可结合 webpack 的魔法注释指定 chunk 名称：<br>import(/* webpackChunkName: "user" */ './views/User.vue')	Vue Router
Vuex 的核心概念有哪些？各自的作用是什么？	<strong>state</strong>：<br>存储应用的状态（数据），是响应式的。<br><br><strong>getters</strong>：<br>类似 computed，对 state 进行派生计算，可复用。<br><br><strong>mutations</strong>：<br>同步修改 state 的唯一方式，通过 commit 触发。<br><br><strong>actions</strong>：<br>处理异步操作，通过 dispatch 触发，最后 commit mutation。<br><br><strong>modules</strong>：<br>将 store 分割成模块，每个模块拥有自己的 state、getters、mutations、actions。<br><br><strong>关键点</strong>：<br>• 不能直接修改 state，必须通过 mutation<br>• mutation 必须是同步函数<br>• action 可包含异步操作	Vuex
mutation 和 action 有什么区别？为什么不能直接在 action 中修改 state？	<strong>区别</strong>：<br>• mutation：同步，直接修改 state，通过 commit 触发<br>• action：可异步，不直接修改 state，通过 dispatch 触发，最后 commit mutation<br><br><strong>为什么不能直接在 action 中修改 state</strong>：<br>• 保持状态变更的可追踪性，DevTools 能记录每次 mutation 的快照<br>• 异步操作中直接修改 state 会导致状态变化不可预测，难以调试<br>• 设计原则：mutation 负责同步修改，action 负责异步组合	Vuex
Pinia 和 Vuex 相比有哪些优势？	<strong>主要优势</strong>：<br>• 更轻量，移除 mutations，只需 state、getters、actions<br>• 更好的 TypeScript 支持，自动推断类型<br>• 支持多个 store，无需模块嵌套，代码拆分更简单<br>• 支持组合式 API 写法，与 Vue 3 更契合<br>• 支持服务端渲染（SSR）开箱即用<br><br><strong>核心差异</strong>：<br>• Pinia 没有 mutations，异步直接在 actions 中处理<br>• Pinia 的 actions 支持同步和异步，更灵活<br>• Vuex 4 主要是兼容 Vue 3，但写法仍是 Options API 风格<br><br><strong>注意</strong>：<br>Pinia 是 Vue 官方推荐的状态管理库，Vuex 5 将基于 Pinia 的设计。	状态管理
Vuex 的模块化（modules）有什么作用？如何访问模块内的 state 和 getters？	<strong>作用</strong>：<br>• 将大型应用的状态拆分为独立模块，便于维护<br>• 每个模块有独立的 state、getters、mutations、actions<br>• 可设置命名空间（namespaced: true）避免命名冲突<br><br><strong>访问方式</strong>：<br><strong>命名空间模块</strong>：<br>• state：this.$store.state.moduleName.xxx<br>• getters：this.$store.getters['moduleName/xxx']<br>• mutations：this.$store.commit('moduleName/xxx')<br>• actions：this.$store.dispatch('moduleName/xxx')<br><br><strong>mapState 辅助函数</strong>：<br>...mapState('moduleName', ['xxx'])	Vuex
Vue 中如何实现组件状态持久化（如刷新后保持数据）？	<strong>常用方案</strong>：<br><br><strong>1. localStorage / sessionStorage</strong><br>• 在 state 变化时同步存储数据<br>• 应用初始化时读取存储数据恢复状态<br>• 适合中小型项目<br><br><strong>2. vuex-persistedstate 插件</strong><br>• 自动将 Vuex state 持久化到 localStorage<br>• 配置简单，支持部分模块持久化<br>• 常用方案<br><br><strong>3. Pinia 持久化</strong><br>• 使用 pinia-plugin-persistedstate 插件<br>• 配置简洁，支持选择性持久化<br><br><strong>4. 第三方登录 token</strong><br>• token 存储在 localStorage 或 cookie<br>• 刷新后重新请求用户信息	状态管理
v-if 和 v-show 有什么区别？分别在什么场景使用？	<strong>区别</strong>：<br>• v-if：条件不满足时，元素不会渲染到 DOM 中，是真正的条件渲染（销毁/重建）<br>• v-show：始终渲染到 DOM，通过 CSS display: none 控制显示隐藏<br><br><strong>使用场景</strong>：<br>• v-if：切换频率低，或条件复杂时使用（节省初始渲染开销）<br>• v-show：切换频率高，或需要频繁显示隐藏时使用（避免重复销毁重建）<br><br><strong>注意</strong>：<br>v-if 支持 v-else-if 和 v-else，v-show 不支持。	Vue 指令
v-model 的原理是什么？如何实现自定义组件的 v-model？	<strong>原理</strong>：<br>v-model 是语法糖，本质是绑定 value 属性和监听 input 事件。<br><br><strong>普通 input 实现</strong>：<br>&lt;input v-model="message" /&gt;<br>等价于<br>&lt;input :value="message" @input="message = $event.target.value" /&gt;<br><br><strong>自定义组件实现</strong>：<br>组件内需接收 value prop，并触发 input 事件。<br><br><strong>Vue 2 写法</strong>：<br>props: ['value']<br>this.$emit('input', newValue)<br><br><strong>Vue 3 写法</strong>：<br>props: ['modelValue']<br>this.$emit('update:modelValue', newValue)<br>或使用 computed 配合 get/set	Vue 指令
v-for 和 v-if 为什么不能同时使用？如何解决？	<strong>原因</strong>：<br>• v-for 优先级高于 v-if（Vue 2 中），导致每次渲染都会先遍历列表再判断条件，性能浪费<br>• 可能产生逻辑错误（v-if 在循环内部，作用域混乱）<br><br><strong>解决方案</strong>：<br>• 使用 computed 过滤数据：<br>computed: { filteredList() { return list.filter(item => item.show) } }<br>然后 v-for 遍历 filteredList<br>• 将 v-if 放在外层包裹元素上（如 template 标签）<br><br><strong>Vue 3 中</strong>：<br>v-if 优先级高于 v-for，但官方仍不推荐同时使用。	Vue 指令
Vue 中如何实现自定义指令？有哪些常见的自定义指令场景？	<strong>实现方式</strong>：<br>Vue.directive('focus', {<br>  inserted(el) { el.focus() }  // Vue 2<br>})<br><br>Vue 3 生命周期钩子变化：<br>• created → beforeMount<br>• inserted → mounted<br>• update → updated<br><br><strong>常见场景</strong>：<br>• v-focus：自动聚焦输入框<br>• v-permission：权限控制（根据权限显示/隐藏元素）<br>• v-loading：全局加载状态<br>• v-debounce：防抖提交<br>• v-copy：一键复制文本	Vue 指令
Vue 的内置组件有哪些？分别有什么作用？	<strong>component</strong>：<br>动态组件，通过 is 属性切换组件。<br><br><strong>transition</strong>：<br>为单个元素/组件添加进入/离开过渡效果。<br><br><strong>transition-group</strong>：<br>为列表元素添加过渡效果，需设置 key。<br><br><strong>keep-alive</strong>：<br>缓存组件，避免重复创建和销毁。<br><br><strong>slot</strong>：<br>插槽，用于内容分发。<br><br><strong>teleport（Vue 3）</strong>：<br>将组件内容传送到 DOM 的其他位置（如模态框挂载到 body）。<br><br><strong>suspense（Vue 3）</strong>：<br>处理异步组件的加载状态，配合 async setup 使用。	Vue 内置组件
Vue 的模板编译原理是什么？render 函数和模板的关系？	<strong>模板编译流程</strong>：<br>1. 解析（parse）：将模板字符串解析成 AST（抽象语法树）<br>2. 优化（optimize）：标记静态节点，用于后续更新跳过静态子树<br>3. 生成（generate）：将 AST 转换为 render 函数字符串<br><br><strong>render 函数</strong>：<br>• 模板最终会被编译成 render 函数<br>• render 函数返回虚拟 DOM（VNode）<br>• 可直接写 render 函数（JSX 或 h 函数）替代模板<br><br><strong>关键点</strong>：<br>• 运行时编译：在浏览器中编译模板（需完整版 Vue）<br>• 预编译：构建时编译，提升性能（推荐，使用 vue-loader）	Vue 渲染原理
new Vue() 初始化过程中发生了什么？	<strong>初始化流程</strong>：<br>1. 合并配置：合并 options（组件选项、混入等）<br>2. 初始化生命周期：设置 $parent、$children 等<br>3. 初始化事件中心：$on、$off、$emit<br>4. 初始化渲染：$slots、$scopedSlots、_c 等<br>5. 调用 beforeCreate 钩子<br>6. 初始化注入：provide/inject<br>7. 初始化状态：props、methods、data、computed、watch（响应式核心）<br>8. 调用 created 钩子<br>9. 如果有 el 选项，调用 $mount 进行挂载<br><br><strong>挂载过程</strong>：<br>• 执行 render 函数生成 VNode<br>• 将 VNode 转换为真实 DOM（patch 过程）<br>• 触发 mounted 钩子	Vue 渲染原理
Vue 中如何实现响应式数据更新后获取更新后的 DOM？	<strong>使用 nextTick</strong>：<br><br><strong>原理</strong>：<br>Vue 的 DOM 更新是异步的，数据变化后，Vue 会将渲染任务推入异步队列，在下一个事件循环中批量更新。<br><br><strong>使用方式</strong>：<br>this.$nextTick(() => {<br>  // DOM 更新后执行<br>})<br><br>或 async/await：<br>await this.$nextTick()<br><br><strong>适用场景</strong>：<br>• 数据变化后需要操作更新后的 DOM<br>• 组件挂载完成后获取子组件或 DOM 元素<br><br><strong>注意</strong>：<br>mounted 中访问 DOM 时，实际已经隐式使用了 nextTick 机制。	Vue 渲染原理
Vue 项目中有哪些常见的性能优化手段？	<strong>1. 组件优化</strong><br>• 使用 computed 缓存计算结果，避免重复计算<br>• 使用 v-once 渲染静态内容（不参与后续更新）<br>• 使用 keep-alive 缓存频繁切换的组件<br>• 合理使用 v-if 和 v-show<br><br><strong>2. 列表优化</strong><br>• v-for 使用唯一且稳定的 key，避免使用 index<br>• 大列表使用虚拟滚动（如 vue-virtual-scroller）<br><br><strong>3. 加载优化</strong><br>• 路由懒加载（动态 import）<br>• 异步组件（defineAsyncComponent）<br>• 图片懒加载<br>• CDN 加速静态资源<br><br><strong>4. 打包优化</strong><br>• 代码分割（splitChunks）<br>• Tree Shaking 移除未使用代码<br>• 压缩图片、开启 gzip<br><br><strong>5. 渲染优化</strong><br>• 避免模板中过多计算逻辑<br>• 使用函数式组件（无状态、无实例）<br>• 合理使用 nextTick 批量操作 DOM	Vue 性能优化
Vue 中如何实现列表虚拟滚动？为什么需要它？	<strong>原理</strong>：<br>只渲染可视区域内的列表项，通过动态计算滚动位置，替换可见数据，实现大量数据的流畅滚动。<br><br><strong>为什么需要</strong>：<br>• 当列表数据量巨大时（如 10 万条），直接渲染会导致 DOM 节点过多，内存占用高，滚动卡顿<br>• 虚拟滚动可大幅减少 DOM 节点数量（只渲染 10-20 条），提升性能<br><br><strong>实现方式</strong>：<br>• 使用现成库：vue-virtual-scroller、vue-virtual-scroll-list<br>• 手写思路：监听滚动事件，计算起始和结束索引，更新可视区域数据	Vue 性能优化
computed 和 methods 在性能上有什么区别？	<strong>computed 计算属性</strong>：<br>• 有缓存，依赖的响应式数据不变时，多次访问直接返回缓存结果，不会重新计算<br>• 适合复杂计算、数据过滤等场景<br><br><strong>methods 方法</strong>：<br>• 无缓存，每次调用都会重新执行函数<br>• 在模板中使用时，每次重新渲染都会执行<br><br><strong>性能对比</strong>：<br>• 当数据不变时，computed 性能更好（避免重复计算）<br>• methods 适合无缓存需求的场景（如事件处理、传递参数）	Vue 性能优化
Vue 2 和 Vue 3 的核心差异有哪些？	<strong>1. 响应式系统</strong><br>• Vue 2：Object.defineProperty（局限：无法检测属性添加/删除、数组索引）<br>• Vue 3：Proxy（可检测属性添加/删除、数组索引，懒代理性能更好）<br><br><strong>2. API 风格</strong><br>• Vue 2：Options API（data、methods、computed 等选项）<br>• Vue 3：同时支持 Options API 和 Composition API（更好的逻辑复用）<br><br><strong>3. 组件复用</strong><br>• Vue 2：mixins（命名冲突、数据来源不清晰）<br>• Vue 3：Composition API（逻辑提取为函数，复用更灵活）<br><br><strong>4. TypeScript 支持</strong><br>• Vue 2：支持较差，需装饰器或 vue-class-component<br>• Vue 3：原生支持，自动类型推断<br><br><strong>5. 性能</strong><br>• Vue 3：更小打包体积（Tree Shaking），更快渲染速度<br><br><strong>6. 新特性</strong><br>• Vue 3：Fragment（多根节点）、Teleport（传送门）、Suspense（异步组件）	Vue 2 vs 3
Vue 3 的 Composition API 相比 Options API 有哪些优势？	<strong>1. 更好的逻辑复用</strong><br>• Options API：逻辑复用依赖 mixins，容易产生命名冲突、数据来源不清晰<br>• Composition API：将相关逻辑提取为可组合函数（useXXX），在组件中按需引入，复用更清晰<br><br><strong>2. 更灵活的代码组织</strong><br>• Options API：代码按类型组织（data、methods、computed），同一个功能的逻辑散落在不同选项中<br>• Composition API：代码按功能组织，相关逻辑可以集中在一起，更易维护<br><br><strong>3. 更好的 TypeScript 支持</strong><br>• Composition API 天然支持类型推断，无需额外装饰器<br><br><strong>4. 更细粒度的响应式</strong><br>• 可独立使用 ref、reactive、computed、watch，不局限于组件<br><br><strong>5. 更友好的 Tree Shaking</strong><br>• 未使用的 API 会被打包工具移除，减少体积	Vue 2 vs 3
Vue 3 中为什么可以将根节点设置为多个（Fragment）？	<strong>Vue 2 限制</strong>：<br>模板必须有唯一根节点，因为虚拟 DOM 的 diff 算法基于单根节点树。<br><br><strong>Vue 3 支持原因</strong>：<br>• Vue 3 的虚拟 DOM 底层支持 Fragment 类型，允许组件返回多个根节点<br>• 编译时会将多根节点包裹在 Fragment 节点中，但渲染时不会创建额外的 DOM 节点<br><br><strong>好处</strong>：<br>• 减少无意义的包裹元素（如 div），优化 DOM 结构<br>• 更灵活的组件布局，避免样式嵌套问题	Vue 2 vs 3
Vue 3 中为什么可以不用引入 Vue 直接写组件？	<strong>Vue 2 要求</strong>：<br>组件中需要 import Vue 或使用 Vue.component 注册，因为模板编译时依赖全局 Vue。<br><br><strong>Vue 3 改进</strong>：<br>• 引入新的编译策略，模板编译时直接生成依赖 Vue 的 render 函数<br>• 通过 @vue/compiler-sfc 预编译，无需运行时全局 Vue<br>• 支持 Tree Shaking，按需引入 API（如 ref、reactive）<br><br><strong>实际使用</strong>：<br>在 Vue 3 的 &lt;script setup&gt; 中，可以直接使用 ref、computed 等 API，无需导入 Vue 本身。	Vue 2 vs 3
