正面	反面	标签
请解释 JavaScript 的原型链：__proto__ 和 prototype 的关系，以及属性查找过程。	<strong>关系</strong>：<br>• 每个函数都有 prototype 属性（对象）<br>• 每个对象都有 __proto__ 属性（指向其构造函数的 prototype）<br>• 实例.__proto__ === 构造函数.prototype<br>• 原型链顶端是 Object.prototype.__proto__ === null<br><br><strong>属性查找</strong>：<br>访问对象属性时，先找自身 → 找不到沿 __proto__ 向上查找 → 直到 null 返回 undefined。	JavaScript 原型
手写一个 new 操作符的模拟实现。	function myNew(Constructor, ...args) {<br>  const obj = Object.create(Constructor.prototype);<br>  const result = Constructor.apply(obj, args);<br>  return result instanceof Object ? result : obj;<br>}	JavaScript 手写
手写 call 方法。	Function.prototype.myCall = function(context, ...args) {<br>  context = context || globalThis;<br>  const fn = Symbol();<br>  context[fn] = this;<br>  const result = context[fn](...args);<br>  delete context[fn];<br>  return result;<br>};	JavaScript 手写
手写 apply 方法。	Function.prototype.myApply = function(context, args) {<br>  context = context || globalThis;<br>  const fn = Symbol();<br>  context[fn] = this;<br>  let result;<br>  if (Array.isArray(args)) {<br>    result = context[fn](...args);<br>  } else {<br>    result = context[fn]();<br>  }<br>  delete context[fn];<br>  return result;<br>};	JavaScript 手写
手写 bind 方法（支持柯里化）。	Function.prototype.myBind = function(context, ...bindArgs) {<br>  const fn = this;<br>  return function(...callArgs) {<br>    return fn.apply(context, bindArgs.concat(callArgs));<br>  };<br>};<br><br>注：简易版，不考虑 new 绑定情况。	JavaScript 手写
手写 throttle（节流），并说明与防抖的区别。	function throttle(fn, delay) {<br>  let timer = null;<br>  return function(...args) {<br>    if (timer) return;<br>    timer = setTimeout(() => {<br>      fn.apply(this, args);<br>      timer = null;<br>    }, delay);<br>  };<br>}<br><br><strong>区别</strong>：<br>• 防抖：连续触发只执行最后一次<br>• 节流：固定间隔内最多执行一次	JavaScript 手写
async/await 的本质是什么？和普通函数、Promise 的关系？	<strong>本质</strong>：async/await 是 Promise + 生成器（Generator）的语法糖。<br><br><strong>async 函数</strong>：<br>• 返回一个 Promise 对象<br>• 函数内部可使用 await<br><br><strong>await</strong>：<br>• 等待 Promise 决议，将异步代码写成同步风格<br>• 如果 await 后不是 Promise，会被转为 resolved Promise<br>• 只能在 async 函数内使用<br><br><strong>与普通函数的区别</strong>：<br>• 普通函数执行完立即返回结果；async 函数立即返回 Promise，内部异步执行	JavaScript 异步
如何精确判断一个 JavaScript 变量的数据类型？typeof 有什么局限？	<strong>万能方法</strong>：<br>Object.prototype.toString.call(obj)<br><br>返回类似 [object Array] 的字符串，可判断：Array、Object、Date、RegExp、null、undefined 等。<br><br><strong>typeof 局限</strong>：<br>• null → 'object'<br>• 数组 → 'object'<br>• 无法区分不同对象类型	JavaScript 基础
浅拷贝和深拷贝的区别是什么？列举几种浅拷贝的实现方式。	<strong>浅拷贝</strong>：只复制第一层属性，若属性是引用类型，则复制引用（共享同一内存）。<br><strong>深拷贝</strong>：递归复制所有层级，完全独立。<br><br><strong>浅拷贝实现</strong>：<br>• 展开运算符：{ ...obj }<br>• Object.assign：Object.assign({}, obj)<br>• 数组的 slice()、concat()<br>• 手写循环赋值	JavaScript 基础
简述执行上下文与作用域链的概念，以及它们的区别。	<strong>执行上下文</strong>：代码执行时的环境，包含变量对象、作用域链、this。每次函数调用都会创建新的执行上下文。<br><br><strong>作用域链</strong>：由当前执行上下文的变量对象与所有父级变量对象组成的链，用于变量查找。<br><br><strong>区别</strong>：<br>• 执行上下文是动态的（运行时创建），作用域链是静态的（函数定义时确定）<br>• 作用域链是执行上下文的一部分	JavaScript 作用域
手写一个简易版 Promise（实现 then、resolve、reject 核心逻辑）。	class MyPromise {<br>  constructor(executor) {<br>    this.state = 'pending';<br>    this.value = undefined;<br>    this.callbacks = [];<br>    const resolve = (val) => {<br>      if (this.state !== 'pending') return;<br>      this.state = 'fulfilled';<br>      this.value = val;<br>      this.callbacks.forEach(cb => cb.onFulfilled(val));<br>    };<br>    const reject = (err) => {<br>      if (this.state !== 'pending') return;<br>      this.state = 'rejected';<br>      this.value = err;<br>      this.callbacks.forEach(cb => cb.onRejected(err));<br>    };<br>    try { executor(resolve, reject); } catch (e) { reject(e); }<br>  }<br>  then(onFulfilled, onRejected) {<br>    return new MyPromise((resolve, reject) => {<br>      const handle = () => {<br>        try {<br>          const cb = this.state === 'fulfilled' ? onFulfilled : onRejected;<br>          if (!cb) {<br>            (this.state === 'fulfilled' ? resolve : reject)(this.value);<br>            return;<br>          }<br>          const result = cb(this.value);<br>          resolve(result);<br>        } catch (err) {<br>          reject(err);<br>        }<br>      };<br>      if (this.state === 'pending') {<br>        this.callbacks.push({ onFulfilled: handle, onRejected: handle });<br>      } else {<br>        setTimeout(handle, 0);<br>      }<br>    });<br>  }<br>}<br><br>注：含核心流程，未实现链式传递中 then 返回 Promise 的完整规范。	JavaScript 手写
CommonJS 和 ES Module 的区别有哪些？	<strong>CommonJS（Node）</strong>：<br>• 运行时加载（同步）<br>• 模块是对象，导出是值的拷贝<br>• 使用 require() 和 module.exports<br><br><strong>ES Module（ES6）</strong>：<br>• 编译时加载（静态）<br>• 导出是值的引用，且只读<br>• 使用 import 和 export<br><br>其他：<br>• ES Module 支持 Tree Shaking<br>• CommonJS 可在条件语句中 require，ES Module 的 import 必须位于顶层	JavaScript 模块化
什么是严格模式（use strict）？它有哪些常见影响？	<strong>作用</strong>：将代码运行在更严格的条件下，消除 JavaScript 静默错误，提高安全性。<br><br><strong>常见影响</strong>：<br>• 禁止使用未声明的变量（防止意外全局变量）<br>• 禁止 with 语句<br>• 普通函数中的 this 为 undefined（而非全局对象）<br>• 禁止删除变量、函数、参数<br>• 禁止八进制数字字面量<br>• 禁止在函数内部重写 arguments 对象	JavaScript 基础
