正面	反面	标签
CORS 中如何携带 Cookie？需要满足哪些条件？	<strong>前端设置</strong>：<br>• XMLHttpRequest：xhr.withCredentials = true<br>• Fetch：credentials: 'include'<br><br><strong>服务端设置</strong>：<br>• Access-Control-Allow-Credentials: true<br>• Access-Control-Allow-Origin 不能为 *，必须指定具体域名<br>• Access-Control-Allow-Headers 和 Access-Control-Allow-Methods 不能为 *（如有需要）<br><br><strong>注意事项</strong>：<br>• 携带的是目标域名的 Cookie，不是当前页面的 Cookie<br>• 服务端需设置 SameSite 属性为 None 且 Secure（跨站场景）<br>• 必须使用 HTTPS（SameSite=None 要求 Secure）	跨域
JSONP 的原理是什么？有哪些优缺点？	<strong>原理</strong>：<br>利用 &lt;script&gt; 标签不受同源策略限制的特性，通过动态创建 script 标签，请求携带回调函数名，服务端返回 JavaScript 代码（调用回调函数并传入数据）。<br><br><strong>实现</strong>：<br>function jsonp(url, callback) {<br>  const script = document.createElement('script')<br>  const callbackName = 'jsonp_' + Date.now()<br>  window[callbackName] = (data) => {<br>    callback(data)<br>    document.body.removeChild(script)<br>    delete window[callbackName]<br>  }<br>  script.src = `${url}?callback=${callbackName}`<br>  document.body.appendChild(script)<br>}<br><br><strong>优点</strong>：<br>• 兼容性好，支持 IE 低版本<br>• 简单易用<br><br><strong>缺点</strong>：<br>• 仅支持 GET 请求<br>• 安全性较差（可能被 XSS 攻击）<br>• 无法处理错误（无状态码）<br>• 需要服务端配合	跨域
除了 CORS 和 JSONP，还有哪些跨域解决方案？	<strong>1. 代理（Proxy）</strong><br>• 开发环境：webpack devServer 配置代理<br>• 生产环境：Nginx 反向代理，将跨域请求转发到同源地址<br><br><strong>2. postMessage</strong><br>• 用于不同源的 iframe 或窗口间通信<br>• 通过 window.postMessage 发送消息，通过 message 事件接收<br><br><strong>3. WebSocket</strong><br>• WebSocket 协议本身支持跨域，不受同源策略限制<br><br><strong>4. document.domain</strong><br>• 仅限主域相同、子域不同的情况（如 a.example.com 和 b.example.com）<br>• 将两个页面的 document.domain 设置为相同主域<br><br><strong>5. window.name</strong><br>• 利用 window.name 在不同页面间传递数据（已过时）<br><br><strong>6. location.hash</strong><br>• 利用 URL hash 传递数据（已过时）	跨域
XSS 攻击是什么？有哪些类型？如何防范？	<strong>XSS（跨站脚本攻击）</strong>：<br>攻击者将恶意脚本注入到网页中，在用户浏览器中执行，窃取 Cookie、劫持会话等。<br><br><strong>类型</strong>：<br>• 反射型 XSS：恶意脚本作为 URL 参数，后端未过滤直接返回<br>• 存储型 XSS：恶意脚本存储在数据库，访问页面时执行（危害最大）<br>• DOM 型 XSS：通过修改 DOM 节点注入恶意脚本（前端漏洞）<br><br><strong>防范措施</strong>：<br>• 输入过滤：对用户输入进行转义（HTML 实体编码）<br>• 输出转义：展示用户内容时使用 textContent 而非 innerHTML<br>• 使用 CSP（内容安全策略）：限制资源加载源，禁止内联脚本<br>• 设置 Cookie 为 HttpOnly（禁止 JS 读取 Cookie）<br>• 使用框架自带防护（React、Vue 默认转义）	Web 安全
CSRF 攻击是什么？如何防范？	<strong>CSRF（跨站请求伪造）</strong>：<br>攻击者诱导用户在已登录的目标网站执行非本意的操作（如修改密码、转账）。<br><br><strong>攻击条件</strong>：<br>• 用户已登录目标网站<br>• 目标网站未校验请求来源<br>• 攻击者构造恶意请求并诱导用户触发<br><br><strong>防范措施</strong>：<br>• CSRF Token：表单或请求头中携带随机 Token，服务端校验<br>• SameSite Cookie：设置 SameSite=Strict 或 Lax，限制第三方请求携带 Cookie<br>• 验证 Referer / Origin：校验请求来源是否在白名单内<br>• 双重 Cookie 验证：在 Cookie 和请求参数中都携带 Token，服务端比对<br>• 关键操作二次验证：输入密码、验证码	Web 安全
CSP（内容安全策略）是什么？有什么作用？	<strong>CSP（Content Security Policy）</strong>：<br>浏览器安全机制，通过 HTTP 响应头告诉浏览器哪些资源可以被加载和执行。<br><br><strong>配置方式</strong>：<br>Content-Security-Policy: default-src 'self'; script-src 'self' https://trusted.cdn.com; style-src 'self' 'unsafe-inline'<br><br><strong>常用指令</strong>：<br>• default-src：默认资源加载策略<br>• script-src：脚本加载源<br>• style-src：样式加载源<br>• img-src：图片加载源<br>• connect-src：AJAX、WebSocket 等连接源<br>• frame-ancestors：控制哪些页面可嵌入当前页面（防点击劫持）<br><br><strong>作用</strong>：<br>• 有效防御 XSS 攻击（禁止内联脚本、限制脚本来源）<br>• 防御数据注入攻击<br>• 防御点击劫持（frame-ancestors）<br>• 强制 HTTPS 加载资源（upgrade-insecure-requests）	Web 安全
什么是点击劫持？如何防范？	<strong>点击劫持（Clickjacking）</strong>：<br>攻击者通过透明 iframe 覆盖在页面上，诱导用户点击看似正常的按钮，实际点击了 iframe 中的目标页面（如转账确认按钮）。<br><br><strong>防范措施</strong>：<br><br><strong>1. X-Frame-Options 响应头</strong><br>• DENY：禁止任何页面嵌入 iframe<br>• SAMEORIGIN：仅允许同源页面嵌入<br>• ALLOW-FROM uri：仅允许指定页面嵌入（已弃用）<br><br><strong>2. CSP frame-ancestors 指令</strong><br>Content-Security-Policy: frame-ancestors 'self' https://trusted.com<br>（优先级高于 X-Frame-Options）<br><br><strong>3. 前端防御（辅助）</strong><br>• 判断顶层窗口是否被嵌入：if (top !== self) top.location = self.location<br>• 但可能被绕过，不推荐单独使用	Web 安全
HTTP/1.0、HTTP/1.1、HTTP/2.0、HTTP/3.0 的主要区别是什么？	<strong>HTTP/1.0</strong>：<br>• 短连接，每次请求建立一次 TCP 连接<br>• 无请求头 Host 字段（无法支持虚拟主机）<br><br><strong>HTTP/1.1</strong>：<br>• 持久连接（keep-alive），复用 TCP 连接<br>• 管道化（pipelining），但存在队头阻塞<br>• 新增请求方法（PUT、PATCH、DELETE）<br>• 支持 Host 头，可部署多个虚拟主机<br>• 分块传输编码（chunked）<br><br><strong>HTTP/2.0</strong>：<br>• 二进制分帧，非文本协议<br>• 多路复用，解决队头阻塞<br>• 服务器推送（Server Push）<br>• 头部压缩（HPACK）<br>• 请求优先级<br><br><strong>HTTP/3.0</strong>：<br>• 基于 UDP 的 QUIC 协议<br>• 解决 TCP 队头阻塞<br>• 0-RTT 快速连接恢复<br>• 连接迁移（切换网络不断连）	HTTP 协议
HTTP 常见状态码有哪些？分别代表什么含义？	<strong>1xx（信息响应）</strong><br>• 100 Continue：请求已接收，继续发送<br>• 101 Switching Protocols：协议切换<br><br><strong>2xx（成功）</strong><br>• 200 OK：请求成功<br>• 201 Created：资源创建成功<br>• 204 No Content：成功但无返回内容<br><br><strong>3xx（重定向）</strong><br>• 301 Moved Permanently：永久重定向<br>• 302 Found：临时重定向<br>• 304 Not Modified：缓存未修改（协商缓存）<br><br><strong>4xx（客户端错误）</strong><br>• 400 Bad Request：请求语法错误<br>• 401 Unauthorized：未认证<br>• 403 Forbidden：禁止访问<br>• 404 Not Found：资源不存在<br>• 429 Too Many Requests：请求过多<br><br><strong>5xx（服务端错误）</strong><br>• 500 Internal Server Error：服务器内部错误<br>• 502 Bad Gateway：网关错误<br>• 503 Service Unavailable：服务不可用<br>• 504 Gateway Timeout：网关超时	HTTP 协议
HTTP 请求方法有哪些？分别的作用是什么？	<strong>GET</strong>：<br>获取资源，幂等，参数在 URL 中，长度有限制<br><br><strong>POST</strong>：<br>创建资源，非幂等，参数在请求体中<br><br><strong>PUT</strong>：<br>更新资源（全量），幂等<br><br><strong>PATCH</strong>：<br>更新资源（部分），非幂等<br><br><strong>DELETE</strong>：<br>删除资源，幂等<br><br><strong>HEAD</strong>：<br>类似 GET，只返回响应头，不返回响应体<br><br><strong>OPTIONS</strong>：<br>预检请求，获取服务器支持的请求方法<br><br><strong>幂等性</strong>：<br>多次执行结果相同，GET、PUT、DELETE 幂等，POST、PATCH 非幂等	HTTP 协议
HTTP/2.0 的多路复用解决了什么问题？是如何实现的？	<strong>解决的问题</strong>：<br>• HTTP/1.1 存在队头阻塞：同一连接请求需排队，前一个请求未完成则后续请求等待<br>• 需建立多个 TCP 连接来提高并发（浏览器限制 6-8 个）<br><br><strong>实现原理</strong>：<br>• 二进制分帧层：将请求/响应拆分为独立的数据帧（HEADERS 帧、DATA 帧）<br>• 每个请求分配 Stream ID，帧交错发送<br>• 接收端根据 Stream ID 重新组装<br><br><strong>优势</strong>：<br>• 单连接支持多路并发请求<br>• 避免创建多个连接的开销<br>• 优先级控制，关键资源优先传输	HTTP 协议
HTTP/2.0 的服务器推送（Server Push）是什么？有什么注意事项？	<strong>定义</strong>：<br>服务器在响应 HTML 时，主动推送客户端后续可能需要的资源（如 CSS、JS），无需客户端发起请求。<br><br><strong>实现</strong>：<br>服务器通过 PUSH_PROMISE 帧告知客户端即将推送的资源。<br><br><strong>使用场景</strong>：<br>• 推送关键资源（如首屏 CSS）<br>• 减少往返延迟<br><br><strong>注意事项</strong>：<br>• 可能推送已缓存的资源，造成带宽浪费<br>• 需合理配置，避免过度推送<br>• HTTP/2 规范允许客户端拒绝推送（RST_STREAM）<br>• 已被 Cache 的资源不会重复推送	HTTP 协议
HTTPS 的加密原理是什么？SSL/TLS 握手过程是怎样的？	<strong>加密原理</strong>：<br>混合加密：非对称加密 + 对称加密<br>• 非对称加密：传输对称密钥（RSA、ECDHE）<br>• 对称加密：加密传输数据（AES、ChaCha20）<br><br><strong>TLS 1.2 握手流程</strong>：<br>1. Client Hello：客户端发送支持的加密套件、随机数<br>2. Server Hello：服务端选择加密套件、发送证书、随机数<br>3. 客户端验证证书，生成预主密钥（Pre-Master Secret）<br>4. 客户端使用公钥加密预主密钥，发送给服务端<br>5. 双方根据随机数和预主密钥生成会话密钥<br>6. 开始对称加密通信<br><br><strong>TLS 1.3 优化</strong>：<br>• 减少往返次数（1-RTT 甚至 0-RTT）<br>• 简化握手流程，移除不安全算法	HTTPS
HTTPS 相比 HTTP 有哪些优缺点？	<strong>优点</strong>：<br>• 安全性：数据加密传输，防止中间人攻击、窃听、篡改<br>• 身份验证：通过 CA 证书验证服务端身份，防止钓鱼网站<br>• 数据完整性：校验数据是否被篡改<br>• SEO 优势：搜索引擎优先收录 HTTPS 站点<br>• 新特性支持：HTTP/2、HTTP/3 强制要求 HTTPS<br><br><strong>缺点</strong>：<br>• 性能开销：加解密消耗 CPU 资源<br>• 握手延迟：TLS 握手增加往返时间（可通过 TLS 1.3、会话复用优化）<br>• 成本：需要购买 CA 证书（Let's Encrypt 提供免费证书）<br>• 维护成本：证书需要定期更新续期	HTTPS
